code_commune;libelle;code_epci
1001;L'Abergement-Clémenciat;200069193
1002;L'Abergement-de-Varey;240100883
1004;Ambérieu-en-Bugey;240100883
1005;Ambérieux-en-Dombes;200042497
1006;Ambléon;200040350
1007;Ambronay;240100883
1008;Ambutrix;240100883
1009;Andert-et-Condon;200040350
1010;Anglefort;200070852
1011;Apremont;200042935
1012;Aranc;200042935
1013;Arandas;240100883
1014;Arbent;200042935
1015;Arboys en Bugey;200040350
1016;Arbigny;200071371
1017;Argis;240100883
1019;Armix;200040350
1021;Ars-sur-Formans;200042497
1022;Artemare;200040350
1023;Asnières-sur-Saône;200071371
1024;Attignat;200071751
1025;Bâgé-Dommartin;200071371
1026;Bâgé-le-Châtel;200071371
1027;Balan;240100610
1028;Baneins;200069193
1029;Beaupont;200071751
1030;Beauregard;200042497
1031;Bellignat;200042935
1032;Béligneux;240100610
1033;Valserhône;240100891
1034;Belley;200040350
1035;Belleydoux;200042935
1036;Valromey-sur-Séran;200040350
1037;Bénonces;240100883
1038;Bény;200071751
1040;Béréziat;200071751
1041;Bettant;240100883
1042;Bey;200070555
1043;Beynost;240100800
1044;Billiat;240100891
1045;Birieux;200069193
1046;Biziat;200070555
1047;Blyes;240100883
1049;La Boisse;240100610
1050;Boissey;200071371
1051;Bolozon;200042935
1052;Bouligneux;200069193
1053;Bourg-en-Bresse;200071751
1054;Bourg-Saint-Christophe;240100883
1056;Boyeux-Saint-Jérôme;200029999
1057;Boz;200071371
1058;Brégnier-Cordon;200040350
1060;Brénod;200042935
1061;Brens;200040350
1062;Bressolles;240100610
1063;Brion;200042935
1064;Briord;240100883
1065;Buellas;200071751
1066;La Burbanche;200040350
1067;Ceignes;200042935
1068;Cerdon;200029999
1069;Certines;200071751
1071;Cessy;240100750
1072;Ceyzériat;200071751
1073;Ceyzérieu;200040350
1074;Chalamont;200069193
1075;Chaleins;200070118
1076;Chaley;240100883
1077;Challes-la-Montagne;200029999
1078;Challex;240100750
1079;Champagne-en-Valromey;200040350
1080;Champdor-Corcelles;200042935
1081;Champfromier;240100891
1082;Chanay;240100891
1083;Chaneins;200069193
1084;Chanoz-Châtenay;200070555
1085;La Chapelle-du-Châtelard;200069193
1087;Charix;200042935
1088;Charnoz-sur-Ain;240100883
1089;Château-Gaillard;240100883
1090;Châtenay;200069193
1092;Châtillon-la-Palud;200069193
1093;Châtillon-sur-Chalaronne;200069193
1094;Chavannes-sur-Reyssouze;200071371
1095;Nivigne et Suran;200071751
1096;Chaveyriat;200070555
1098;Chazey-Bons;200040350
1099;Chazey-sur-Ain;240100883
1100;Cheignieu-la-Balme;200040350
1101;Chevillard;200042935
1102;Chevroux;200071371
1103;Chevry;240100750
1104;Chézery-Forens;240100750
1105;Civrieux;200042497
1106;Cize;200071751
1107;Cleyzieu;240100883
1108;Coligny;200071751
1109;Collonges;240100750
1110;Colomieu;200040350
1111;Conand;240100883
1112;Condamine;200042935
1113;Condeissiat;200069193
1114;Confort;240100891
1115;Confrançon;200071751
1116;Contrevoz;200040350
1117;Conzieu;200040350
1118;Corbonod;200070852
1121;Corlier;200042935
1123;Cormoranche-sur-Saône;200070555
1124;Cormoz;200071751
1125;Corveissiat;200071751
1127;Courmangoux;200071751
1128;Courtes;200071751
1129;Crans;200069193
1130;Bresse Vallons;200071751
1133;Cressin-Rochefort;200040350
1134;Crottet;200070555
1135;Crozet;240100750
1136;Cruzilles-lès-Mépillat;200070555
1138;Culoz-Béon;200040350
1139;Curciat-Dongalon;200071751
1140;Curtafond;200071751
1141;Cuzieu;200040350
1142;Dagneux;240100610
1143;Divonne-les-Bains;240100750
1145;Dompierre-sur-Veyle;200071751
1146;Dompierre-sur-Chalaronne;200069193
1147;Domsure;200071751
1148;Dortan;200042935
1149;Douvres;240100883
1150;Drom;200071751
1151;Druillat;200071751
1152;Échallon;200042935
1153;Échenevex;240100750
1155;Évosges;200042935
1156;Faramans;240100883
1157;Fareins;200042497
1158;Farges;240100750
1159;Feillens;200071371
1160;Ferney-Voltaire;240100750
1162;Flaxieu;200040350
1163;Foissiat;200071751
1165;Francheleins;200070118
1166;Frans;200042497
1167;Garnerans;200070118
1169;Genouilleux;200070118
1170;Béard-Géovreissiat;200042935
1171;Géovreisset;200042935
1173;Gex;240100750
1174;Giron;240100891
1175;Gorrevod;200071371
1177;Grand-Corent;200071751
1179;Grièges;200070555
1180;Grilly;240100750
1181;Groissiat;200042935
1183;Guéreins;200070118
1184;Hautecourt-Romanèche;200071751
1185;Plateau d'Hauteville;200042935
1187;Haut Valromey;200040350
1188;Illiat;200070118
1189;Injoux-Génissiat;240100891
1190;Innimond;240100883
1191;Izenave;200042935
1192;Izernore;200042935
1193;Izieu;200040350
1194;Jassans-Riottier;200040590
1195;Jasseron;200071751
1196;Jayat;200071751
1197;Journans;200071751
1198;Joyeux;240100883
1199;Jujurieux;200029999
1200;Labalme;200029999
1202;Lagnieu;240100883
1203;Laiz;200070555
1204;Le Poizat-Lalleyriat;200042935
1206;Lantenay;200042935
1207;Lapeyrouse;200069193
1208;Lavours;200040350
1209;Léaz;240100750
1210;Lélex;240100750
1211;Lent;200071751
1212;Lescheroux;200071751
1213;Leyment;240100883
1214;Leyssard;200042935
1215;Surjoux-Lhopital;240100891
1216;Lhuis;240100883
1219;Lompnas;240100883
1224;Loyettes;240100883
1225;Lurcy;200070118
1227;Magnieu;200040350
1228;Maillat;200042935
1229;Malafretaz;200071751
1230;Mantenay-Montlin;200071751
1231;Manziat;200071371
1232;Marboz;200071751
1233;Marchamp;240100883
1234;Marignieu;200040350
1235;Marlieux;200069193
1236;Marsonnas;200071751
1237;Martignat;200042935
1238;Massieux;200042497
1239;Massignieu-de-Rives;200040350
1240;Matafelon-Granges;200042935
1241;Meillonnas;200071751
1242;Mérignat;200029999
1243;Messimy-sur-Saône;200070118
1244;Meximieux;240100883
1245;Bohas-Meyriat-Rignat;200071751
1246;Mézériat;200070555
1247;Mijoux;240100750
1248;Mionnay;200069193
1249;Miribel;240100800
1250;Misérieux;200042497
1252;Mogneneins;200070118
1254;Montagnat;200071751
1255;Montagnieu;240100883
1257;Montanges;240100891
1258;Montceaux;200070118
1259;Montcet;200071751
1260;Le Montellier;240100883
1261;Monthieux;200069193
1262;Montluel;240100610
1263;Montmerle-sur-Saône;200070118
1264;Montracol;200071751
1265;Montréal-la-Cluse;200042935
1266;Montrevel-en-Bresse;200071751
1267;Nurieux-Volognat;200042935
1268;Murs-et-Gélignieux;200040350
1269;Nantua;200042935
1272;Neuville-les-Dames;200069193
1273;Neuville-sur-Ain;200029999
1274;Les Neyrolles;200042935
1275;Neyron;240100800
1276;Niévroz;240100610
1277;Nivollet-Montgriffon;240100883
1279;Oncieu;240100883
1280;Ordonnaz;240100883
1281;Ornex;240100750
1282;Outriaz;200042935
1283;Oyonnax;200042935
1284;Ozan;200071371
1285;Parcieux;200042497
1286;Parves et Nattages;200040350
1288;Péron;240100750
1289;Péronnas;200071751
1290;Pérouges;240100883
1291;Perrex;200070555
1293;Peyriat;200042935
1294;Peyrieu;200040350
1295;Peyzieux-sur-Saône;200070118
1296;Pirajoux;200071751
1297;Pizay;240100610
1298;Plagne;240100891
1299;Le Plantay;200069193
1301;Polliat;200071751
1302;Pollieu;200040350
1303;Poncin;200029999
1304;Pont-d'Ain;200029999
1305;Pont-de-Vaux;200071371
1306;Pont-de-Veyle;200070555
1307;Port;200042935
1308;Pougny;240100750
1309;Pouillat;200071751
1310;Prémeyzel;200040350
1311;Prémillieu;200042935
1313;Prévessin-Moëns;240100750
1314;Priay;200029999
1317;Ramasse;200071751
1318;Rancé;200042497
1319;Relevant;200069193
1320;Replonges;200071371
1321;Revonnas;200071751
1322;Reyrieux;200042497
1323;Reyssouze;200071371
1325;Rignieux-le-Franc;240100883
1328;Romans;200069193
1329;Rossillon;200040350
1330;Ruffieu;200040350
1331;Saint-Alban;200029999
1332;Saint-André-de-Bâgé;200071371
1333;Saint-André-de-Corcy;200069193
1334;Saint-André-d'Huiriat;200070555
1335;Saint-André-le-Bouchoux;200069193
1336;Saint-André-sur-Vieux-Jonc;200071751
1337;Saint-Bénigne;200071371
1338;Groslée-Saint-Benoit;200040350
1339;Saint-Bernard;200042497
1342;Sainte-Croix;240100610
1343;Saint-Cyr-sur-Menthon;200070555
1344;Saint-Denis-lès-Bourg;200071751
1345;Saint-Denis-en-Bugey;240100883
1346;Saint-Didier-d'Aussiat;200071751
1347;Saint-Didier-de-Formans;200042497
1348;Saint-Didier-sur-Chalaronne;200070118
1349;Saint-Éloi;240100883
1350;Saint-Étienne-du-Bois;200071751
1351;Saint-Étienne-sur-Chalaronne;200070118
1352;Saint-Étienne-sur-Reyssouze;200071371
1353;Sainte-Euphémie;200042497
1354;Saint-Genis-Pouilly;240100750
1355;Saint-Genis-sur-Menthon;200070555
1356;Saint-Georges-sur-Renon;200069193
1357;Saint-Germain-de-Joux;240100891
1358;Saint-Germain-les-Paroisses;200040350
1359;Saint-Germain-sur-Renon;200069193
1360;Saint-Jean-de-Gonville;240100750
1361;Saint-Jean-de-Niost;240100883
1362;Saint-Jean-de-Thurigneux;200042497
1363;Saint-Jean-le-Vieux;200029999
1364;Saint-Jean-sur-Reyssouze;200071751
1365;Saint-Jean-sur-Veyle;200070555
1366;Sainte-Julie;240100883
1367;Saint-Julien-sur-Reyssouze;200071751
1368;Saint-Julien-sur-Veyle;200070555
1369;Saint-Just;200071751
1370;Saint-Laurent-sur-Saône;200070308
1371;Saint-Marcel;200069193
1372;Saint-Martin-de-Bavel;200040350
1373;Saint-Martin-du-Frêne;200042935
1374;Saint-Martin-du-Mont;200071751
1375;Saint-Martin-le-Châtel;200071751
1376;Saint-Maurice-de-Beynost;240100800
1378;Saint-Maurice-de-Gourdans;240100883
1379;Saint-Maurice-de-Rémens;240100883
1380;Saint-Nizier-le-Bouchoux;200071751
1381;Saint-Nizier-le-Désert;200069193
1382;Sainte-Olive;200069193
1383;Saint-Paul-de-Varax;200069193
1384;Saint-Rambert-en-Bugey;240100883
1385;Saint-Rémy;200071751
1386;Saint-Sorlin-en-Bugey;240100883
1387;Saint-Sulpice;200071751
1388;Saint-Trivier-de-Courtes;200071751
1389;Saint-Trivier-sur-Moignans;200069193
1390;Saint-Vulbas;240100883
1391;Salavre;200071751
1392;Samognat;200042935
1393;Sandrans;200069193
1396;Sault-Brénaz;240100883
1397;Sauverny;240100750
1398;Savigneux;200042497
1399;Ségny;240100750
1400;Seillonnaz;240100883
1401;Sergy;240100750
1402;Sermoyer;200071371
1403;Serrières-de-Briord;240100883
1404;Serrières-sur-Ain;200029999
1405;Servas;200071751
1406;Servignat;200071751
1407;Seyssel;200070852
1408;Simandre-sur-Suran;200071751
1410;Sonthonnax-la-Montagne;200042935
1411;Souclin;240100883
1412;Sulignat;200069193
1415;Talissieu;200040350
1416;Tenay;240100883
1418;Thil;240100800
1419;Thoiry;240100750
1420;Thoissey;200070118
1421;Torcieu;240100883
1422;Tossiat;200071751
1423;Toussieux;200042497
1424;Tramoyes;240100800
1425;La Tranclière;200071751
1426;Val-Revermont;200071751
1427;Trévoux;200042497
1428;Valeins;200069193
1429;Vandeins;200071751
1430;Varambon;200029999
1431;Vaux-en-Bugey;240100883
1432;Verjon;200071751
1433;Vernoux;200071751
1434;Versailleux;200069193
1435;Versonnex;240100750
1436;Vesancy;240100750
1437;Vescours;200071751
1439;Vésines;200071371
1441;Vieu-d'Izenave;200042935
1443;Villars-les-Dombes;200069193
1444;Villebois;240100883
1445;Villemotier;200071751
1446;Villeneuve;200042497
1447;Villereversure;200071751
1448;Villes;240100891
1449;Villette-sur-Ain;200069193
1450;Villieu-Loyes-Mollon;240100883
1451;Viriat;200071751
1452;Virieu-le-Grand;200040350
1453;Arvière-en-Valromey;200040350
1454;Virignin;200040350
1456;Vongnes;200040350
1457;Vonnas;200070555
2001;Abbécourt;200071785
2002;Achery;200071785
2003;Acy;240200477
2004;Agnicourt-et-Séchelles;240200469
2005;Aguilcourt;240200576
2006;Aisonville-et-Bernoville;200071983
2007;Aizelles;240200592
2008;Aizy-Jouy;240200501
2009;Alaincourt;200040426
2010;Allemant;240200501
2011;Ambleny;200071991
2012;Ambrief;240200519
2013;Amifontaine;240200576
2014;Amigny-Rouy;200071785
2015;Ancienville;200071991
2016;Andelain;200071785
2017;Anguilcourt-le-Sart;200071785
2018;Anizy-le-Grand;200071769
2019;Annois;200071892
2020;Any-Martin-Rieux;240200600
2021;Archon;240200634
2022;Arcy-Sainte-Restitue;240200519
2023;Armentières-sur-Ourcq;200072031
2024;Arrancy;200043495
2025;Artemps;200071892
2027;Assis-sur-Serre;240200469
2028;Athies-sous-Laon;200043495
2029;Attilly;240200493
2030;Aubencheul-aux-Bois;240200493
2031;Aubenton;240200600
2032;Aubigny-aux-Kaisnes;200071892
2033;Aubigny-en-Laonnois;240200592
2034;Audignicourt;200071991
2035;Audigny;200071983
2036;Augy;240200501
2037;Aulnois-sous-Laon;200043495
2038;Les Autels;240200634
