code_epci;nom_epci;nb_ald;population;nb_maternelle;nb_elementaire;nb_college;nb_lycee;tx_equipement_sc;nb_commune;nb_msp
200000172;CC Faucigny-Glières;3691;27218;3;15;2;3;0,00;7;1
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;5592;35917;2;19;6;2;0,85;9;0
200000545;CC des Portes de Romilly sur Seine;3269;18739;2;12;4;2;0,54;6;1
200000628;CC Rhône Lez Provence;4590;24224;5;10;2;1;0,42;5;0
200000800;CC Coeur de Sologne;1920;10437;1;8;1;0;2,84;6;0
200000925;CC de la Plaine Dijonnaise;3272;22009;14;20;1;2;0,91;22;1
200000933;CC Sauldre et Sologne;2781;14511;2;13;1;0;2,74;14;0
200004802;CC du Pays de Fayence;4951;28550;5;10;2;0;2,14;9;2
200005932;CC des Portes de Sologne;2396;15489;4;9;1;0;2,60;7;0
200005957;CC de la Région de Rambervillers;2243;12958;5;14;2;1;0,77;30;1
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;N/A - secret statistique;50678;20;42;7;6;1,75;53;1
200006716;CC du Nogentais;N/A - secret statistique;16712;1;12;1;0;2,97;23;1
200006930;CC du Haut Allier;960;5170;1;6;2;2;1,93;10;1
200006971;CC du Perche;3417;18056;4;14;5;3;3,29;20;1
200007052;CC de la Marche Berrichonne;1246;5571;1;4;1;0;1,77;9;0
200007177;CC Pays de Nérondes;915;4764;2;5;2;0;2,05;12;0
200010650;CA du Grand Dole;9552;54514;11;39;9;6;1,83;47;1
200010700;CA Caux Seine Agglo;12412;77889;23;58;9;4;1,41;50;1
200011773;CA Annemasse-Les Voirons-Agglomération;10998;92176;7;29;6;5;0,55;12;2
200011781;CC Portes du Berry entre Loire et Val d'Aubois;N/A - secret statistique;9511;1;9;1;0;1,03;12;1
200013050;CC Sauer-Pechelbronn;3551;17394;3;21;2;1;1,15;24;1
200015162;CC de l'Oriente;1108;6032;1;4;0;0;1,66;22;0
200016905;CC du Pays de Lamastre;N/A - secret statistique;6695;1;8;2;0;0,00;11;0
200017341;CC Lodévois et Larzac;2717;14792;4;13;2;2;1,36;28;1
200017846;CA Etampois Sud Essonne;N/A - secret statistique;55281;21;34;6;4;1,10;37;4
200018083;CC de Desvres-Samer;3529;23289;6;30;3;0;1,29;31;1
200018166;CC Le Grésivaudan;13985;102259;30;56;8;3;1,18;43;1
200018406;CC du Romorantinais et du Monestois;6530;33817;7;22;4;2;1,49;16;2
200018521;CC du Val de Bouzanne;1134;5979;2;5;1;0;0,00;12;1
200018653;CA CAP Excellence;17533;97762;28;39;17;16;0,90;3;1
200022986;CC du Grand Pic Saint-Loup;6652;50490;12;25;3;2;0,82;36;0
200023075;CC du Pays de Maîche;2613;18672;4;16;2;0;1,08;43;1
200023125;CC Les Portes Briardes Entre Villes et Forêts;7014;45988;14;16;7;5;0,66;5;0
200023240;CC Pays de Nemours;5190;29469;6;18;4;3;1,68;21;2
200023299;CC Coeur de Tarentaise;1142;9094;1;11;3;2;5,44;6;2
200023307;CA du Grand Villeneuvois;9835;47561;13;30;8;4;1,05;19;1
200023372;CC de la Vallée de Chamonix-Mont-Blanc;1696;13296;2;8;2;2;2,30;4;2
200023414;Métropole Rouen Normandie;88247;496629;142;187;63;42;1,06;71;11
200023620;CC de la Gascogne Toulousaine;2966;22505;5;12;4;1;1,36;14;0
200023737;CA du Grand Cahors;8122;42142;7;37;6;6;2,40;36;3
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;11871;51560;4;24;2;2;0,81;14;1
200023794;CC de Blaye;3762;20151;2;21;3;2;1,50;20;1
200023919;CC Gâtinais Val de Loing;3381;18546;7;13;3;0;0,53;20;1
200026573;CC Haut-Jura Saint-Claude;3683;19793;6;18;4;2;0,99;22;3
