id_praticien;code_commune;nombre_de_praticiens;evolution_sur_5_ans;apl
1;1001;0;0;36,5
1;1002;0;0;36,4
1;1004;12;3;60,1
1;1005;2;2;58,4
1;1006;0;0;9,3
1;1007;0;0;58,3
1;1008;0;0;66,8
1;1009;0;0;36,7
1;1010;0;0;25,9
1;1011;0;0;41
1;1012;0;0;14,1
1;1013;0;0;8,2
1;1014;2;0;52,9
1;1015;0;0;25,8
1;1016;0;0;32
1;1017;0;0;24,5
1;1019;0;0;0
1;1021;0;0;24,7
1;1022;0;-1;28,8
1;1023;0;0;13,1
1;1024;2;0;61,5
1;1025;0;0;43,7
1;1026;0;0;49,1
1;1027;0;0;55,6
1;1028;0;0;43,9
1;1029;0;0;25,6
1;1030;0;0;74,7
1;1031;2;0;79,6
1;1032;2;-1;39,3
1;1033;5;-2;27,1
1;1034;6;1;32,6
1;1035;0;0;0
1;1036;0;0;22,4
1;1037;0;0;8,9
1;1038;0;0;22,9
1;1040;0;0;22
1;1041;0;0;66,3
1;1042;0;0;34,5
1;1043;4;1;39
1;1044;0;0;17,2
1;1045;0;0;64,1
1;1046;0;0;25,1
1;1047;0;0;57,5
1;1049;4;0;50,9
1;1050;0;0;16,6
1;1051;0;0;0,8
1;1052;0;0;54
1;1053;36;2;89,6
1;1054;0;0;44,8
1;1056;0;0;5,8
1;1057;0;0;17,3
1;1058;0;0;14
1;1060;0;0;14,9
1;1061;0;0;30,8
1;1062;0;0;38,2
1;1063;0;0;73,8
1;1064;0;0;29,7
1;1065;0;0;51
1;1066;0;0;3
1;1067;0;0;33,3
1;1068;0;0;26
1;1069;0;0;43,2
1;1071;7;0;58,6
1;1072;2;0;44,5
1;1073;0;0;47
1;1074;3;1;39,1
1;1075;0;0;47,3
1;1076;0;0;15,2
1;1077;0;0;12,9
1;1078;0;0;27,7
1;1079;0;0;13,2
1;1080;0;0;21,2
1;1081;0;0;7,3
1;1082;0;0;8,7
1;1083;0;0;49,1
1;1084;0;0;30,1
1;1085;0;0;52,4
1;1087;0;0;10,2
1;1088;0;0;43,7
1;1089;0;0;72
1;1090;0;0;15,4
1;1092;0;0;46,7
1;1093;5;0;31,4
1;1094;0;0;15,7
1;1095;0;0;9
1;1096;0;0;33,5
1;1098;0;0;36,7
1;1099;0;0;73,4
1;1100;0;0;14,8
1;1101;0;0;18,2
1;1102;0;0;20
1;1103;0;0;52,2
1;1104;0;0;0
1;1105;0;0;50,9
1;1106;0;0;8,7
1;1107;0;0;8,2
1;1108;0;0;30,6
1;1109;0;-1;16,8
1;1110;0;0;7,8
1;1111;0;0;16,3
1;1112;0;0;45,6
1;1113;0;0;30,3
1;1114;0;0;22
1;1115;0;0;28,6
1;1116;0;0;21,3
1;1117;0;0;7,8
1;1118;0;0;15,5
1;1121;0;0;17,1
1;1123;0;0;59,6
